Sector,Portfolio Weight %,Benchmark Weight %,Portfolio Return %,Benchmark Return %,Allocation Effect bps,Selection Effect bps,Total Effect bps
Information Technology,28.0,24.5,6.2,5.1,12,30,42
Financials,14.0,16.0,2.1,3.4,-3,-18,-21
Health Care,13.5,12.0,4.8,2.2,4,33,37
Consumer Discretionary,11.0,10.5,-1.2,1.8,0,-33,-33
Industrials,10.0,9.0,5.5,4.0,5,15,20
Consumer Staples,6.0,7.0,1.0,0.5,-2,3,1
Energy,3.0,4.5,-4.0,-3.0,6,-3,3
Communication Services,6.5,7.5,3.0,3.2,-1,-1,-2
Materials,3.0,4.0,2.0,1.5,1,2,3
Utilities,2.5,3.0,0.5,0.8,0,-1,-1
Real Estate,2.5,2.0,-2.0,-1.0,-1,-3,-4
TOTAL,100.0,100.0,3.85,3.40,21,24,45
